=== Tool Life Management ===
Title	Tool Master	Tool Record	Month	Customer Type	Year	No of Parts	Machine clamping force (T)	Tooling cost	Currency	Tool description	Master Type	Warranty (Parts)	Tool Owner	Type of Sprue	Overall Cycle time (s)	Type of press	Standard daily capacity (Parts)	Max daily capacity (Parts)	Part Gross Weight (g)	Part Net Weight (g)	Strip width (mm)	Pitch (mm)	Lead Time (months)	Plant	Tool Type	Plant:Title	Plant:Site	Tool Type:Title	End_of_production	EOP	ID	Created	Modified	MasterRecord	ParentTitle	ToolCurrentStatus	Data	Created By	Modified By	TestCurrency	Property	Part per cycle	PartNumberReference	PartReference	Tool Maker	Warranty Alert	Attachments
ST-2006-01-XX-364					2006	1	364.0			Languette connecteur 11TA B8		12000000	NIDEC			V							2.76	AVO El Fahs	Stamping			ST																A993429T			
ST-1987-01-25-157					1987	1	157.0			TERMINAL		10000000	BOSCH			V							2.99	AVO Monterrey	Stamping			ST								Mold scraped								53-2003			
ST-1987-01-25-158					1987	1	158.0			TERMINAL		10000000	BOSCH			V							2.99	AVO Monterrey	Stamping			ST								Mold scraped								53-2004			
ST-1987-01-25-159					1987	1	159.0			TERMINAL		2000000	BOSCH			V							2.99	AVO Monterrey	Stamping			ST								Mold scraped								53-2005			
ST-1987-01-25-156					1987	1	156.0			TERMINAL		10000000	B&D			V	31304.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0711			
ST-1973-01-25-154					1973	1	154.0			TERMINAL		10000000	FIDELITONE				31304.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0723			
ST-1973-01-25-155					1973	1	155.0			TERMINAL		10000000	KIRBY				31304.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0725A			
ST-1997-01-25-177					1997	1	177.0			TERMINAL CSJOBERG TB		10000000	No tool owner			V	31304.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0729			
ST-1999-01-60-365					1999	1	365.0			RH LEAD FRAME WITH GROUND(NEW)		50000000	VALEO			V	216000.0						3.68	AVO Monterrey	Stamping			ST								In use								50-0323			
ST-1999-01-60-272					1999	1	272.0			LH LEAD FRAME WITH GROUND(NEW)		50000000	VALEO			V	216000.0						3.68	AVO Monterrey	Stamping			ST								In use								50-0325			
ST-2007-01-60-366					2007	1	366.0			POS BBOX VP3S4U-11061-BB		50000000	COMSTAR			V	216000.0						2.99	AVO Monterrey	Stamping			ST								In use								50-0414A			
ST-2007-01-60-367					2007	1	367.0			BRASS NEGATIVE BRUSH BOX		50000000	COMSTAR			V	216000.0						2.99	AVO Monterrey	Stamping			ST								In use								50-0415A			
ST-2007-01-80-707					2007	1	707.0			F6RU-11A039-AA		20000000	COMSTAR			V								AVO Monterrey	Stamping			ST								In use											
ST-2007-01-40-708					2007	1	708.0			F6RU-11062-AA 		800000	COMSTAR			V								AVO Monterrey	Stamping			ST								In use											
ST-2005-01-60-273					2005	1	273.0			TRACK(SHORT) CB TI FRST PLASTQ		100000000	VALEO			V	216000.0						2.99	AVO Monterrey	Stamping			ST								In use								50-0540			
ST-XXXX-01-100-274					XXXX	1	274.0			TRACK LONG CB TI FRST PLASTQUE		50000000	VALEO				72000.0						3.68	AVO Monterrey	Stamping			ST								In use								50-0541			
ST-XXXX-01-100-275					XXXX	1	275.0			TRACK BORNIER CB TI FRST PLSTQ		0	VALEO				72000.0							AVO Monterrey	Stamping			ST								In use								50-0542			
ST-1996-01-22-149					1996	1	149.0			TERMINAL, REV A1		50000000	COMSTAR			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0556			
ST-1996-01-22-150					1996	1	150.0			TERMINAL, REV A1		50000000	COMSTAR			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0558			
ST-1996-01-30-368					1996	1	368.0			TERMINAL SREA285644		50000000	COMSTAR			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0576			
ST-1996-01-30-403					1996	1	403.0			TERMINAL FOR PM POSITIVE ASSY		50000000	PM			V	360000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0584A			
ST-1998-01-22-178					1998	1	178.0			INDUCTOR TERMINAL - GLOBAL		50000000	VALEO			V	792000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0592			
ST-1996-01-30-369					1996	1	369.0			24023030 REV C / ETCO 51840		50000000	No tool owner			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0599			
ST-1999-01-30-276					1999	1	276.0			EP36-56 REV 4		50000000	No tool owner			V	288000.0						3.22	AVO Monterrey	Stamping			ST								In use								53-0601			
ST-1999-01-30-277					1999	1	277.0			EP36-57 REV 4		50000000	No tool owner			V	324000.0						3.22	AVO Monterrey	Stamping			ST								In use								53-0602			
ST-2000-01-30-188					2000	1	188.0			TERMINAL 05-0378 EP35-16 REV 4		50000000	No tool owner				216000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0603			
ST-2000-01-30-250					2000	1	250.0			TERMINAL 05-0379		50000000	No tool owner				216000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0604			
ST-2002-01-30-370					2002	1	370.0			CAP, REV 10		50000000	No tool owner			V	216000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0612			
ST-1996-01-22-151					1996	1	151.0			TERMINAL		50000000	TI			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0646A			
ST-2009-01-30-278					2009	1	278.0			CAP 904732		50000000	No tool owner			V	144000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0712			
ST-2009-01-30-279					2009	1	279.0			TERMINAL EP36-154 REV 2		50000000	No tool owner			V	324000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0715A			
ST-1996-01-22-280					1996	1	280.0			ETCO 51632 TERMINAL		50000000	ETCO			V	864000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0727			
ST-2009-01-30-208					2009	1	208.0			CAP WITHOUT EARS		50000000	B&D			V	144000.0						3.45	AVO Monterrey	Stamping			ST								In use								53-0736			
ST-XXXX-01-30-281					XXXX	1	281.0			BRUSH BOX 652812-CAT1 DEWALT		50000000	DEWALT				144000.0						3.22	AVO Monterrey	Stamping			ST								In use								50-0623			
ST-XXXX-01-30-282					XXXX	1	282.0			TERMINAL PLATE CAT1		50000000	DEWALT				144000.0						2.99	AVO Monterrey	Stamping			ST								In use								50-0624			
ST-1999-01-60-283					1999	1	283.0					50000000	No tool owner				216000.0							AVO Monterrey	Stamping			ST								In use								50-0699			
ST-1996-01-22-189					1996	1	189.0					50000000	No tool owner			V	648000.0							AVO Monterrey	Stamping			ST								In use								53-0545			
ST-1996-01-22-335					1996	1	335.0			TERMINAL REV A1		50000000	COMSTAR			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0561			
ST-1996-01-22-148					1996	1	148.0			TERMINAL REV A1		50000000	COMSTAR			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0558			
ST-1996-01-22-404					1996	1	404.0			TERMINAL REV ?  (90 DEG)		50000000	No tool owner			V	576000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0646			
ST-2008-01-30-284					2008	1	284.0			TERMINAL EP36-155 REV 2 PLATED		50000000	No tool owner			V	324000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0716			
ST-2008-01-30-285					2008	1	285.0			TERMINAL EP36-154 REV 2 PLATED		50000000	No tool owner			V	324000.0						2.99	AVO Monterrey	Stamping			ST								In use								53-0715			
TS-2007-08-250-405					2007	8	405.0					8000000	No tool owner	Cold runner			5317.0						3.45	AVO Monterrey	Thermoset Injection			TS								In use								50-0126			
TS-2007-08-250-406					2007	8	406.0					8000000	No tool owner	Cold runner			5317.0						2.99	AVO Monterrey	Thermoset Injection			TS								In use								50-0605			
TS-2007-08-250-407					2007	8	407.0					8000000	No tool owner	Cold runner			5317.0						2.99	AVO Monterrey	Thermoset Injection			TS								In use								50-0607			
TP-2007-08-100-371					2007	8	371.0			Plate Brush Mounting		8000000	B & D				17280.0						4.37	AVO Monterrey	Thermoplastic Injection			TP								In use								50-0625			
ST-2006-01-XX-336					2006	1	336.0			Languette connecteur X70		12000000	NIDEC			V							2.76	AVO El Fahs	Stamping			ST								Mold scraped											
ST-2004-01-30-337					2004	1	337.0			Languettes connecteur EPSILON		6000000	NIDEC			V	18000.0						2.76	AVO El Fahs	Stamping			ST								In use											
TP-1997-04-150-185					1997	4	185.0			PLATINE 2 fils SS MASSE HORAIR		8000000	NIDEC			H	6646.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								Production end								A57890077, A57890107, A852626R, A852706L, A754598H, A856567H, A856649L, A861761V, A861816F, A878360A, A878361L, A878447G, A878448Q, A878449D, A878456Z, A993420L, A993458K, A993469S, A993471W, A993472V, A993470N			
TP-1992-06-50-160					1992	6	160.0			PASSE FIL 10T		6000000	NIDEC			H	14400.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A57840487, A57840527			
TP-2006-16-100-372					2006	16	372.0			Passe fil supérieur		4800000	NIDEC			H	17280.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								Production end								A993494Q			
TP-2006-16-100-338					2006	16	338.0			Passe fil inférieur		0	NIDEC				17280.0							AVO El Fahs	Thermoplastic Injection			TP								Production end								A993495D			
TP-2005-04-200-339					2005	4	339.0			PLATINE noire 10T		12800000	NIDEC			H	6912.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								Production end								A996754T, A993492P, A996747Q, A996761D, A996767F, A996748S, A996746B, A996750W, AA08106102B, AA07106004D, AA10106374K, AA10106380H, ZGAM1P2708, AA10106291J			
TP-2013-04-200-518					2013	4	518.0			Platine T7 PA66 25%FV UL94V0		18200000	NIDEC	Hot Runner direct on part		H	8229.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A993492P, A996746B, AA08106102B, AA10106291J, A996754T, AA14106667M, AA12106513D, AA12106553H, AA15106740R, AA16106796T, AA13106606F			
TP-2012-04-100-519					2012	4	519.0			Connector EPSILON 2 ways ET1091		4000000	NIDEC			H	4800.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100477, A60100482			
TP-2000-08-100-181					2000	8	181.0			PASSE FIL 11TA		6000000	NIDEC			H	18189.0						2.99	AVO El Fahs	Thermoplastic Injection			TP								In use								A872314R			
TP-2003-04-200-147					2003	4	147.0			PLATINE 10C Denso V0		10000000	NIDEC			H	7200.0						4.14	AVO El Fahs	Thermoplastic Injection			TP								In use								A60100830			
TP-2016-04-200-667					2016	4	667.0	47200		Platine 10C B2E Robustness (For)		4000000	NIDEC			H	5760.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA12106553H, AA15106740R, AA16106796T			
TP-2003-04-200-643					2003	4	643.0					5000000	NIDEC				7200.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA11106452G, A996761D			
TP-2005-02-200-644					2005	2	644.0					2000000	NIDEC			H	2880.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A993492P			
TP-2003-02-200-645					2003	2	645.0			Platine 10T Gamma		2000000	NIDEC				2880.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A10106291J			
TP-2003-01-200-646					2003	1	646.0			Platine 10T Ducato galfan		1000000	NIDEC				1440.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								A08106102B			
TP-2003-04-200-647					2003	4	647.0			Platine PFA		8000000	NIDEC				5760.0						2.76	AVO El Fahs	Thermoplastic Injection			TP								In use								A07106004D			
TP-2006-05-150-373					2006	5	373.0			Carcasse pour 761D / 452G / 493G / 101A / 6004 D		15812992	NIDEC			H	5760.0						2.3	AVO El Fahs	Thermoplastic Injection			TP								In use								Carcasse pour 761D / 452G / 493G / 101A / 6004 D			
TP-2002-04-150-191					2002	4	191.0			PLAQUETTE DESHUNTE SANSBOSSAGE		4000000	NIDEC			H	5574.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								Production end								A60100905			
TP-2004-04-150-146					2004	4	146.0			PLATINE 11TA NON DESHUNTEE		0	NIDEC				5574.0							AVO El Fahs	Thermoplastic Injection			TP								Production end								A60100933			
TP-2004-04-150-341					2004	4	341.0			PLATINE 11TA NON DESHUNTEE V0		0	NIDEC				5574.0							AVO El Fahs	Thermoplastic Injection			TP																A993488T			
TP-2003-04-150-145					2003	4	145.0			PLATINE DESHUNTEE AVEC BOSSAGE		0	NIDEC			H	5574.0							AVO El Fahs	Thermoplastic Injection			TP								Production end								A861538L			
TP-2002-XX-XX-144					2002	XX	144.0			PLATINE DESHUNTEE AVEC BOSSAGE		0	NIDEC											AVO El Fahs	Thermoplastic Injection			TP								Production end								A861554S			
TP-2003-XX-XX-143					2003	XX	143.0			PLATINE DESHUNTEE AVEC BOSSAGE		0	NIDEC											AVO El Fahs	Thermoplastic Injection			TP								Production end								A861699Z			
TP-2013-04-50-520					2013	4	520.0			Connecteur CMF1 X52 - H79		7000000	NIDEC			H	5400.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA12106527I, AA12106541E			
ST-2013-01-25-623					2013	1	623.0			Inserts connecteur CMF1		21750000	NIDEC			V	54000.0						2.99	AVO El Fahs	Stamping			ST								In use								A12106529K			
ST-2012-02-XX-485					2012	2	485.0			Insert Connecteur B8		50000000	NIDEC			V	115200.0						2.99	AVO El Fahs	Stamping			ST								In use								AA13116616G			
TP-2007-02-50-409					2007	2	409.0			PASSE FIL INFERIEUR		553788	NIDEC			H	3757.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								AA07116027I			
TP-2007-02-50-410					2007	2	410.0			PASSE FIL SUPERIEUR		567630	NIDEC				2979.0						3.22	AVO El Fahs	Thermoplastic Injection			TP								In use								AA07116028J			
TP-2007-01-80-411					2007	1	411.0			PLATINE 11TA T8		10798	NIDEC			H	1309.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								Production end								AA08116059N			
TP-2009-04-150-286					2009	4	286.0	80277.22222	EURO	PLATINE 11TA		8000000	NIDEC			H	11148.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA08116089P			
TP-2009-04-150-287					2009	4	287.0			PLATINE 11TA		12400000	NIDEC	cold runner		H	5574.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA08106090I			
TP-2011-04-150-457					2011	4	457.0	21200	EURO	PLATINE 11TA		16400000	NIDEC	cold runner		H	5574.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA08116093L			
TP-2011-02-150-457					2011	2	457.0			PLATINE DT20 / T8X		2000000	NIDEC	Cold runner		H	2787.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA08116140J			
TP-2011-02-150-648					2011	2	648.0			PLATINE 11TA MERIVA		2000000	NIDEC	Cold runner		H	2787.0						3.68	AVO El Fahs	Thermoplastic Injection			TP								In use								AA09116228J			
TP-2006-05-150-642					2006	5	642.0			Carcasse pour en (089P / 090I / 093L / 140J / 228J) / 656K / 625G / 592K		15200000	NIDEC			H	5760.0						2.3	AVO El Fahs	Thermoplastic Injection			TP								In use								Carcasse pour en (089P / 090I / 093L / 140J / 228J) / 656K / 625G / 592K			
